1.0, 6.948357
2.0, 5.730868
3.0, 5.623844
4.0, 5.961515
5.0, 5.382923
6.0, 6.082932
7.0, 8.089606
8.0, 9.183717
9.0, 10.46526
10.0, 13.27128
11.0, 15.46829
12.0, 18.56714
13.0, 22.42098
14.0, 25.24336
15.0, 29.63754
16.0, 34.91886
17.0, 39.79358
18.0, 45.95712
19.0, 51.24599
20.0, 57.29385
21.0, 65.43282
22.0, 71.68711
23.0, 79.33376
24.0, 86.48763
25.0, 95.22781
26.0, 104.2555
27.0, 112.7245
28.0, 122.9878
29.0, 132.3997
30.0, 142.8542
31.0, 153.3991
32.0, 165.7261
33.0, 176.2933
34.0, 187.6711
35.0, 200.9113
36.0, 212.5896
37.0, 226.4044
38.0, 238.8202
39.0, 253.0359
40.0, 268.0984
41.0, 161.7692
42.0, 161.8857
43.0, 162.1422
44.0, 162.4494
45.0, 162.2607
46.0, 163.0401
47.0, 163.5697
48.0, 164.7286
49.0, 164.7718
50.0, 164.1185
51.0, 165.562
52.0, 165.6075
53.0, 165.8615
54.0, 166.9058
55.0, 167.5155
56.0, 167.8656
57.0, 167.3804
58.0, 168.0454
59.0, 168.7656
60.0, 169.4878
